דירוג,סוג הטקס,טכניקת הומור,מספר סרטונים,מדד ממוצע (%),מדד חציוני (%),אמד מכווץ (%),תחזית אדיטיבית (%),סינרגיה (נק'),רווח סמך תחתון (%),רווח סמך עליון (%),צפיות חציון,לייקים% ממוצע,תגובות% ממוצע
1,ייעוץ,אירוניה,1,6.26,6.26,5.22,4.62,1.65,6.26,6.26,78716,5.60,0.133
2,צריכה,התנהגות ליצנית,4,5.87,5.31,5.44,4.97,0.90,4.88,7.44,509800,5.74,0.027
3,חשיפה,אירוניה,23,5.63,5.69,5.54,5.54,0.09,4.79,6.51,549021,5.52,0.022
4,חשיפה,התנהגות ליצנית,36,5.15,5.42,5.13,5.22,-0.06,4.57,5.74,1046906,5.04,0.021
5,צריכה,אירוניה,8,4.93,5.38,4.91,5.29,-0.36,3.65,6.37,19852802,4.88,0.011
6,חשיפה,סלפסטיק,8,4.53,4.21,4.62,4.59,-0.07,3.28,5.87,532167,4.37,0.031
7,חשיפה,הפתעה,16,4.44,4.63,4.51,4.42,0.03,3.21,5.82,456194,4.36,0.016
8,חשיפה,אי-הבנה,5,4.36,3.94,4.54,3.70,0.66,3.49,5.47,799137,4.21,0.030
9,חשיפה,פרודיה,7,4.15,3.17,4.36,4.22,-0.07,2.51,6.24,1673797,4.06,0.019
10,צריכה,הפתעה,3,3.86,3.62,4.36,4.17,-0.31,1.39,6.58,20243522,3.69,0.035
11,צריכה,סאטירה,1,3.81,3.81,4.60,3.54,0.27,3.81,3.81,14851646,3.74,0.014
12,חשיפה,סאטירה,4,3.69,3.79,4.19,3.78,-0.09,2.82,4.56,501338,3.38,0.063
13,ייעוץ,התנהגות ליצנית,2,3.69,3.69,4.39,4.29,-0.61,3.69,3.69,672494,3.60,0.018
14,ייעוץ,אי-הבנה,1,2.38,2.38,4.24,2.78,-0.39,2.38,2.38,150390,2.28,0.021
15,צריכה,אי-הבנה,1,1.26,1.26,3.95,3.45,-2.19,1.26,1.26,574963,1.18,0.017
