מספר סידורי,Views,Likes,Comments,Like Rate בקובץ,Like Rate מחושב,Comment Rate בקובץ,Comment Rate מחושב,Weighted בקובץ,Weighted מחושב,הפרש Like,הפרש Comment,הפרש Weighted,סטטוס
001,182763811,3728497,13150,2.04,2.04,0.01,0.01,2.08,2.08,0.0001,0.0028,0.0040,תקין
002,4159473,238132,112,5.73,5.73,0.00,0.00,5.74,5.74,0.0049,0.0027,0.0015,תקין
003,1306834,88193,686,6.75,6.75,0.05,0.05,7.01,7.01,0.0014,0.0025,0.0011,תקין
004,125980,3226,23,2.56,2.56,0.02,0.02,2.65,2.65,0.0007,0.0017,0.0020,תקין
005,14851646,555078,2069,3.74,3.74,0.01,0.01,3.81,3.81,0.0025,0.0039,0.0029,תקין
006,40927756,1434602,9234,3.51,3.51,0.02,0.02,3.62,3.62,0.0048,0.0026,0.0020,תקין
007,141578,5597,129,3.95,3.95,0.09,0.09,4.41,4.41,0.0033,0.0011,0.0011,תקין
008,20243522,268741,2542,1.33,1.33,0.01,0.01,1.39,1.39,0.0025,0.0026,0.0003,תקין
009,200841,8323,39,4.14,4.14,0.02,0.02,4.24,4.24,0.0041,0.0006,0.0012,תקין
010,2239621,78389,681,3.50,3.50,0.03,0.03,3.65,3.65,0.0001,0.0004,0.0021,תקין
011,75087,2019,10,2.69,2.69,0.01,0.01,2.76,2.76,0.0011,0.0033,0.0045,תקין
012,594513,14292,199,2.40,2.40,0.03,0.03,2.57,2.57,0.0040,0.0035,0.0013,תקין
013,714122,7932,16,1.11,1.11,0.00,0.00,1.12,1.12,0.0007,0.0022,0.0019,תקין
014,28682264,1106367,4605,3.86,3.86,0.02,0.02,3.94,3.94,0.0027,0.0039,0.0024,תקין
015,389810,17946,20,4.60,4.60,0.01,0.01,4.63,4.63,0.0038,0.0049,0.0006,תקין
016,961993,50462,202,5.25,5.25,0.02,0.02,5.35,5.35,0.0044,0.0010,0.0006,תקין
017,3702979,264795,883,7.15,7.15,0.02,0.02,7.27,7.27,0.0009,0.0038,0.0001,תקין
018,3047085,262241,142,8.61,8.61,0.00,0.00,8.63,8.63,0.0037,0.0047,0.0004,תקין
